hour,AvgSpeed,AvgDistance,AvgTime,AvgTip,TipPercentage,AvgPassCount,AvgFare,AvgExtra,AvgTolls,AvgTotal,trips,year
0,15.3,3.1,11.7,0.8,7.061,1.8,10.4,0.5,0.1,12.3,6715764,2010
1,16,3.1,11.1,0.8,7.1,1.8,10.2,0.5,0.1,12,4988804,2010
2,16.6,3.2,10.8,0.8,7.15,1.8,10.2,0.5,0.1,12.1,3760439,2010
3,17.3,3.4,10.9,0.8,6.974,1.8,10.6,0.5,0.1,12.5,2754338,2010
4,19.3,4,11.4,0.8,6.17,1.7,11.9,0.5,0.2,13.9,1985901,2010
5,21.4,4.5,11,1,6.246,1.6,12.9,0.5,0.5,15.4,1583129,2010
6,18.4,3.5,10,0.9,6.615,1.5,10.7,0,0.3,12.4,3331955,2010
7,14.6,2.9,10.7,0.8,7.037,1.5,9.7,0,0.2,11.2,6045501,2010
8,12.1,2.6,12,0.8,7.508,1.5,9.6,0,0.2,11.1,7741829,2010
9,11.7,2.5,12.1,0.8,7.405,1.6,9.5,0,0.2,11,7956941,2010
10,11.9,2.5,11.9,0.7,6.724,1.6,9.5,0,0.2,10.9,7615661,2010
11,11.7,2.5,12.2,0.7,6.463,1.6,9.7,0,0.2,11.1,7794056,2010
12,11.4,2.5,12.3,0.7,6.419,1.6,9.7,0,0.2,11.1,8336434,2010
13,11.5,2.6,12.6,0.7,6.336,1.7,10,0,0.2,11.4,8296643,2010
14,11.3,2.7,13.1,0.7,6.292,1.7,10.2,0,0.2,11.7,8591799,2010
15,11.4,2.8,13.3,0.7,6.175,1.7,10.3,0,0.3,11.8,8216484,2010
16,11.9,2.8,13.1,0.8,6.008,1.7,10.2,0.6,0.3,12.3,7124317,2010
17,11.6,2.7,13,0.7,6.236,1.7,10,0.7,0.2,12.1,8522639,2010
18,11.5,2.5,12.5,0.8,6.547,1.7,9.6,0.7,0.2,11.7,10211124,2010
19,12.1,2.5,11.8,0.8,6.717,1.7,9.4,0.7,0.1,11.4,10591658,2010
20,13.2,2.7,11.4,0.8,7.188,1.7,9.5,0.5,0.1,11.5,9847469,2010
21,14,2.8,11.4,0.6,4.589,1.7,9.8,0.5,0.1,11.5,9498731,2010
22,14.3,2.9,11.5,0.8,7.172,1.8,10,0.5,0.1,12,9199924,2010
23,14.8,3.1,11.7,0.8,7.108,1.8,10.3,0.5,0.1,12.2,8282813,2010
